id_driver,nama,email,status
1,Driver_1,driver1@outlook.com,Inactive
2,Driver_2,driver2@yahoo.com,Inactive
3,Driver_3,driver3@outlook.com,Active
4,Driver_4,driver4@gmail.com,Active
5,Driver_5,driver5@outlook.com,Inactive
6,Driver_6,driver6@gmail.com,Inactive
7,Driver_7,driver7@outlook.com,Active
8,Driver_8,driver8@gmail.com,Inactive
9,Driver_9,driver9@outlook.com,Active
10,Driver_10,driver10outlook.com,Active
11,Driver_11,driver11@outlook.com,Inactive
12,Driver_12,driver12@outlook.com,Active
13,Driver_13,driver13@yahoo.com,Active
14,Driver_14,driver14@outlook.com,Active
15,Driver_15,,Active
16,Driver_16,driver16@outlook.com,Inactive
17,Driver_17,driver17@yahoo.com,Active
18,Driver_18,driver18@gmail.com,Unknown
19,Driver_19,driver19@yahoo.com,Inactive
20,Driver_20,driver20gmail.com,Active
21,Driver_21,driver21@yahoo.com,Active
22,Driver_22,driver22@yahoo.com,Inactive
23,Driver_23,driver23@outlook.com,Active
24,Driver_24,driver24@gmail.com,Active
25,Driver_25,driver25@outlook.com,Active
26,Driver_26,driver26@outlook.com,Inactive
27,Driver_27,driver27@outlook.com,Active
28,Driver_28,driver28@gmail.com,Inactive
29,Driver_29,driver29@outlook.com,Inactive
30,Driver_30,,Active
31,Driver_31,driver31@outlook.com,Inactive
32,Driver_32,driver32@outlook.com,Inactive
33,Driver_33,driver33@yahoo.com,Active
34,Driver_34,driver34@outlook.com,Inactive
35,Driver_35,driver35@yahoo.com,Active
36,Driver_36,driver36@gmail.com,Unknown
37,Driver_37,driver37@outlook.com,Inactive
38,Driver_38,driver38@gmail.com,Inactive
39,Driver_39,driver39@gmail.com,Inactive
40,Driver_40,driver40gmail.com,Inactive
41,Driver_41,driver41@outlook.com,Inactive
42,Driver_42,driver42@outlook.com,Active
43,Driver_43,driver43@outlook.com,Active
44,Driver_44,driver44@outlook.com,Inactive
45,Driver_45,,Inactive
46,Driver_46,driver46@yahoo.com,Inactive
47,Driver_47,driver47@yahoo.com,Inactive
48,Driver_48,driver48@gmail.com,Inactive
49,Driver_49,driver49@gmail.com,Active
50,Driver_50,driver50gmail.com,Active
51,Driver_51,driver51@outlook.com,Active
52,Driver_52,driver52@outlook.com,Active
53,Driver_53,driver53@gmail.com,Active
54,Driver_54,driver54@gmail.com,Unknown
55,Driver_55,driver55@gmail.com,Inactive
56,Driver_56,driver56@gmail.com,Active
57,Driver_57,driver57@outlook.com,Active
58,Driver_58,driver58@gmail.com,Inactive
59,Driver_59,driver59@gmail.com,Inactive
60,Driver_60,,Active
61,Driver_61,driver61@gmail.com,Active
62,Driver_62,driver62@yahoo.com,Active
63,Driver_63,driver63@outlook.com,Inactive
64,Driver_64,driver64@yahoo.com,Active
65,Driver_65,driver65@outlook.com,Inactive
66,Driver_66,driver66@gmail.com,Active
67,Driver_67,driver67@gmail.com,Inactive
68,Driver_68,driver68@yahoo.com,Inactive
69,Driver_69,driver69@gmail.com,Inactive
70,Driver_70,driver70yahoo.com,Inactive
71,Driver_71,driver71@yahoo.com,Inactive
72,Driver_72,driver72@outlook.com,Unknown
73,Driver_73,driver73@yahoo.com,Active
74,Driver_74,driver74@yahoo.com,Inactive
75,Driver_75,,Active
76,Driver_76,driver76@gmail.com,Active
77,Driver_77,driver77@outlook.com,Inactive
78,Driver_78,driver78@yahoo.com,Inactive
79,Driver_79,driver79@yahoo.com,Inactive
80,Driver_80,driver80outlook.com,Active
81,Driver_81,driver81@yahoo.com,Active
82,Driver_82,driver82@yahoo.com,Active
83,Driver_83,driver83@outlook.com,Inactive
84,Driver_84,driver84@yahoo.com,Active
85,Driver_85,driver85@outlook.com,Active
86,Driver_86,driver86@yahoo.com,Inactive
87,Driver_87,driver87@outlook.com,Active
88,Driver_88,driver88@gmail.com,Active
89,Driver_89,driver89@gmail.com,Active
90,Driver_90,,Unknown
91,Driver_91,driver91@gmail.com,Active
92,Driver_92,driver92@gmail.com,Active
93,Driver_93,driver93@gmail.com,Inactive
94,Driver_94,driver94@yahoo.com,Active
95,Driver_95,driver95@outlook.com,Active
96,Driver_96,driver96@outlook.com,Active
97,Driver_97,driver97@gmail.com,Active
98,Driver_98,driver98@outlook.com,Active
99,Driver_99,driver99@yahoo.com,Active
100,Driver_100,driver100yahoo.com,Inactive
