id_customer,nama,email,no_hp,kota,tanggal_daftar
1,Customer_1,user1@gmail.com,+6284608738129,Bandung,2020-04-03
2,Customer_2,user2@gmail.com,+62813465192328,Bandung,2022-06-11
3,Customer_3,user3@gmail.com,+628622957402,Surabaya,2022-04-24
4,Customer_4,user4@gmail.com,+6280776169139,Surabaya,2020-12-20
5,Customer_5,user5@gmail.com,+628257161411,,2022-10-13
6,Customer_6,user6@gmail.com,+62878721293,Surabaya,2020-02-02
7,Customer_7,user7@gmail.com,+628417193573,,2021-08-08
8,Customer_8,user8@gmail.com,+62885269605,Jakarta,2021-03-13
9,Customer_9,user9@gmail.com,+62835924684820,,2022-05-08
10,Customer_10,user10gmail.com,+628074292077,,2022-02-22
11,Customer_11,user11@gmail.com,+6289148841859,Bandung,2020-09-30
12,Customer_12,user12@gmail.com,62812345abc,Surabaya,2022-05-12
13,Customer_13,user13@gmail.com,+62807844830682,Surabaya,2022-10-24
14,Customer_14,user14@gmail.com,+628450813623,,2022-03-10
15,Customer_15,,+628022191807,,2021-06-02
16,Customer_16,user16@gmail.com,+62862797434833,Surabaya,2020-09-11
17,Customer_17,user17@gmail.com,+6285958868983,Surabaya,2021-04-29
18,Customer_18,user18@gmail.com,+62822972278,,2020-11-26
19,Customer_19,user19@gmail.com,+62834035971,Bandung,2020-09-28
20,Customer_20,user20gmail.com,+62812,Jakarta,2020-11-26
21,Customer_21,user21@gmail.com,+628497886423,Jakarta,2020-08-03
22,Customer_22,user22@gmail.com,+628275486645,,2020-10-09
23,Customer_23,user23@gmail.com,+62825730992725,Jakarta,2021-10-26
24,Customer_24,user24@gmail.com,62812345abc,Jakarta,2022-01-21
25,Customer_25,user25@gmail.com,+6281890653880,Bandung,2022-03-15
26,Customer_26,user26@gmail.com,+6284202255077,,2022-01-24
27,Customer_27,user27@gmail.com,+6282430426313,Surabaya,2020-07-05
28,Customer_28,user28@gmail.com,+628473784815,Jakarta,2022-02-26
29,Customer_29,user29@gmail.com,+6284810151437,,2022-12-27
30,Customer_30,,+62850562309585,Bandung,2020-01-02
31,Customer_31,user31@gmail.com,+628527830038,Jakarta,2022-05-17
32,Customer_32,user32@gmail.com,+62853353956,Bandung,2020-12-29
33,Customer_33,user33@gmail.com,+6287613862471,Jakarta,2020-05-10
34,Customer_34,user34@gmail.com,+62821164421596,,2020-06-20
35,Customer_35,user35@gmail.com,+62877680775,Jakarta,2022-08-06
36,Customer_36,user36@gmail.com,+62812,Jakarta,2022-08-30
37,Customer_37,user37@gmail.com,+628345279169,Bandung,2020-11-30
38,Customer_38,user38@gmail.com,+62882672731,Jakarta,2022-04-16
39,Customer_39,user39@gmail.com,+628937804129,Jakarta,2021-06-09
40,Customer_40,user40gmail.com,62812345abc,,2021-08-07
41,Customer_41,user41@gmail.com,+62871874565,Surabaya,2022-11-27
42,Customer_42,user42@gmail.com,+628318483141,Bandung,2020-02-25
43,Customer_43,user43@gmail.com,+6288242694537,,2022-03-05
44,Customer_44,user44@gmail.com,+628025140455,Jakarta,2021-03-26
45,Customer_45,,+6287748169850,Jakarta,2022-06-20
46,Customer_46,user46@gmail.com,+628855601857,,2022-10-31
47,Customer_47,user47@gmail.com,+62879324050,Jakarta,2020-01-30
48,Customer_48,user48@gmail.com,62812345abc,Bandung,2022-07-26
49,Customer_49,user49@gmail.com,+62818611670,Surabaya,2022-11-15
50,Customer_50,user50gmail.com,+628194759891,Bandung,2020-11-28
51,Customer_51,user51@gmail.com,+62873941034312,,2021-08-17
52,Customer_52,user52@gmail.com,+62858723127,Bandung,2022-01-14
53,Customer_53,user53@gmail.com,+62812441783093,Jakarta,2020-04-15
54,Customer_54,user54@gmail.com,+62864392987,,2022-06-09
55,Customer_55,user55@gmail.com,+6288105413629,Surabaya,2020-08-03
56,Customer_56,user56@gmail.com,+628026394713,,2022-04-20
57,Customer_57,user57@gmail.com,+6283760341694,,2022-03-25
58,Customer_58,user58@gmail.com,+628253419791,,2020-10-22
59,Customer_59,user59@gmail.com,+628642600477,Surabaya,2021-04-23
60,Customer_60,,+62812,,2021-08-07
61,Customer_61,user61@gmail.com,+628442005799,Surabaya,2020-06-21
62,Customer_62,user62@gmail.com,+62807967252,,2020-09-23
63,Customer_63,user63@gmail.com,+6284013336204,,2021-07-24
64,Customer_64,user64@gmail.com,+628005340092,Jakarta,2022-10-12
65,Customer_65,user65@gmail.com,+62837524343569,Jakarta,2022-08-21
66,Customer_66,user66@gmail.com,+628746908038,Bandung,2020-05-23
67,Customer_67,user67@gmail.com,+62876531307301,Bandung,2021-01-10
68,Customer_68,user68@gmail.com,+62857398323,Surabaya,2020-09-02
69,Customer_69,user69@gmail.com,+628036692266,,2022-02-20
70,Customer_70,user70gmail.com,+62889209371781,Bandung,2020-08-20
71,Customer_71,user71@gmail.com,+62894694173820,Surabaya,2020-06-17
72,Customer_72,user72@gmail.com,+628123456789012345,Jakarta,2021-08-31
73,Customer_73,user73@gmail.com,+6285706452756,,2020-09-26
74,Customer_74,user74@gmail.com,+628908404152,Surabaya,2022-06-12
75,Customer_75,,+62819708542224,Bandung,2021-02-04
76,Customer_76,user76@gmail.com,+628858193147,,2022-12-11
77,Customer_77,user77@gmail.com,+62892828534070,Surabaya,2020-06-18
78,Customer_78,user78@gmail.com,+62894688713,Bandung,2022-09-07
79,Customer_79,user79@gmail.com,+628145959459,Jakarta,2020-01-01
80,Customer_80,user80gmail.com,,,2022-02-27
81,Customer_81,user81@gmail.com,+628988772141,Bandung,2022-04-30
82,Customer_82,user82@gmail.com,+628165803283,Jakarta,2022-03-06
83,Customer_83,user83@gmail.com,+62832219953329,Surabaya,2020-12-09
84,Customer_84,user84@gmail.com,,Surabaya,2022-01-10
85,Customer_85,user85@gmail.com,+62882776073,Surabaya,2022-12-24
86,Customer_86,user86@gmail.com,+62877387734,Bandung,2020-02-16
87,Customer_87,user87@gmail.com,+62883242145875,Bandung,2021-08-30
88,Customer_88,user88@gmail.com,+6282913055980,Bandung,2022-01-07
89,Customer_89,user89@gmail.com,+62844872067,Surabaya,2022-03-28
90,Customer_90,,+62877050724,Surabaya,2021-02-06
91,Customer_91,user91@gmail.com,+62813499168,Bandung,2022-04-25
92,Customer_92,user92@gmail.com,+6286932361233,,2021-04-14
93,Customer_93,user93@gmail.com,+62832787614,Bandung,2021-01-02
94,Customer_94,user94@gmail.com,+6281361554703,Surabaya,2022-04-15
95,Customer_95,user95@gmail.com,+62890163414068,Bandung,2022-11-19
96,Customer_96,user96@gmail.com,+62812,Bandung,2021-04-13
97,Customer_97,user97@gmail.com,+62879758543,Surabaya,2021-03-29
98,Customer_98,user98@gmail.com,+6283921114283,Bandung,2021-01-22
99,Customer_99,user99@gmail.com,+6286560285828,Surabaya,2021-05-06
100,Customer_100,user100gmail.com,,Surabaya,2022-04-27
101,Customer_101,user101@gmail.com,+62834308551819,,2021-05-05
102,Customer_102,user102@gmail.com,+6289138889343,Surabaya,2022-05-20
103,Customer_103,user103@gmail.com,+62827715517650,Bandung,2020-09-29
104,Customer_104,user104@gmail.com,+6285092597258,Surabaya,2022-05-25
